URL,Name,Address,Contact,Website,Categories
https://www.places2play.org/place?id=1,Pickleball Courts at Genesis Place Recreation Centre,"800 East Lake Blvd. Ne , Airdrie, AB T4A 2K9",,http://www.airdrie.ca/genesis_,"Public, Drop-In Fee, Indoor Courts"
https://www.places2play.org/place?id=2,Pickleball Courts at Ardrossan Rec Centre,"80-1 Avenue, Ardrossan, AB T8E 2A2",,http://www.strathcona.ca/,"Public, Drop-In Fee, Indoor Courts"
https://www.places2play.org/place?id=3,Pickleball Courts at Abbey Centre,"4500 Womacks Road, Blackfalds, AB",,http://www.reddeerpickleballcl,"Public, Drop-In Fee, Outdoor Courts, Indoor Courts"
https://www.places2play.org/place?id=4,Pickleball Courts at Calgary Jewish Community Centre,"1607 90 Avenue Southwest, Calgary, AB T2V 4V7",,http://calgaryjcc.com/active-l,"Public, Indoor Courts"
https://www.places2play.org/place?id=5,Pickleball Courts at Calgary Winter Club,"4611 14th Street Nw, Calgary, AB T2K 1J7",403-289-5511,http://www.calgarywinterclub.c,"Private, Indoor Courts"
https://www.places2play.org/place?id=6,Pickleball Courts at Hounsfield Heights Briar Hill Community Associatio,"1928 14 Ave Nw, T2n 1m5, Calgary, AB",,,"Public, Indoor Courts"
https://www.places2play.org/place?id=7,Pickleball Courts at North Glenmore Community Association,"2231 Longridge Drive Sw, Calgary, AB T3E 5N5",,http://www.calgarypickleballcl,"Public, Indoor Courts"
https://www.places2play.org/place?id=8,Pickleball Courts at Southland Leisure Centre,"2000 Southland Drive Southwest, Calgary, AB T2V 4S4",,http://www.calgarypickleballcl,"Public, Indoor Courts"
https://www.places2play.org/place?id=9,Pickleball Courts at West-hillhurst Community Centre,"1940 6 Avenue Northwest, Calgary, AB T2N 0W3",,http://www.westhillhurst.com,"Public, Indoor Courts"
https://www.places2play.org/place?id=10,Pickleball Courts at Camrose Community Centre,"4516- 54 Street, Camrose, AB T4V 1Y5",Dean Edwards,http://camrosepickleball.com,"Su, M, T, W, T, F, Sa, Membership Required, Drop-In Fee, Indoor Courts"
https://www.places2play.org/place?id=11,Place,,,,
https://www.places2play.org/place?id=12,Pickleball Courts at Canmore Seniors' Association,"600b - 9th Street, Canmore, AB T1W 3L9",Miriam Palmer,,"Private, Indoor Courts, Public"
https://www.places2play.org/place?id=13,Pickleball Courts at Spray Lake Sawmills Family Sports Centre,"800 Griffin Rd E , Cochrane, AB T4C 2B8",,http://www.slssportscentre.com,"Public, Indoor Courts"
https://www.places2play.org/place?id=14,Pickleball Courts at Badlands Community Centre Field House,"80 Veterans Way, Drumheller, AB T0J 0Y2",,,"Public, Indoor Courts"
https://www.places2play.org/place?id=15,Pickleball Courts at Central Lions Senior Recreation Centre,"11113 -113 Street, Edmonton, AB T5J 2R7",,http://www.calgarypickleballcl,"Su, M, T, W, T, F, Sa, Membership Required, Indoor Courts"
